Kode_Kab_Kota;Kabupaten_Kota;Konfirmasi_total;Konfirmasi_sembuh;Konfirmasi_meninggal;Konfirmasi_aktif;Jumlah_RS_Rujukan;Jumlah_nakes;Kepadatan_Penduduk
3204;Kabupaten Bandung;33900;33052;608;240;3;2538;2050
3217;Kabupaten Bandung Barat;19155;18787;265;103;2;1401;1370
3216;Kabupaten Bekasi;51201;50561;539;101;8;4538;2541
3201;Kabupaten Bogor;47782;47512;206;64;9;5372;2002
3207;Kabupaten Ciamis;15140;14717;311;112;1;1337;869
3203;Kabupaten Cianjur;10844;10610;201;33;2;2028;645
3209;Kabupaten Cirebon;24967;24019;888;60;4;431;2306
3205;Kabupaten Garut;26733;25387;1170;176;2;2481;841
3212;Kabupaten Indramayu;15755;15025;697;33;2;1859;899
3215;Kabupaten Karawang;43246;41387;1848;11;3;4427;1476
3208;Kabupaten Kuningan;13505;13241;245;19;2;1466;1051
3210;Kabupaten Majalengka;10809;10537;216;56;2;1314;1084
3218;Kabupaten Pangandaran;5272;5121;145;6;1;508;419
3214;Kabupaten Purwakarta;12390;11798;578;14;2;1914;1208
3213;Kabupaten Subang;9664;9377;270;17;1;1380;842
3202;Kabupaten Sukabumi;11268;10933;324;11;7;2479;657
3211;Kabupaten Sumedang;8990;8827;139;24;1;1238;759
3206;Kabupaten Tasikmalaya;7018;6663;273;82;1;1157;731
3273;Kota Bandung;44743;44142;399;202;14;10143;14577
3279;Kota Banjar;4890;4757;130;3;1;594;1771
3275;Kota Bekasi;94450;93386;1013;51;14;6440;12311
3271;Kota Bogor;37110;36494;523;93;8;3938;8802
3277;Kota Cimahi;11900;11630;178;92;2;1781;14474
3274;Kota Cirebon;12812;12262;522;28;2;1670;8921
3276;Kota Depok;105089;102751;2139;199;9;4687;10267
3272;Kota Sukabumi;9205;8884;283;38;1;1410;7178
3278;Kota Tasikmalaya;13872;13283;541;48;1;1587;4173
